vulnerability_id,asset_id,cve_id,cvss_score,severity,exploitability,known_exploited,first_seen,days_open,patch_available
V0001,A122,CVE-2025-10003,6.2,Medium,Medium,No,2026-07-28,32,Yes
V0002,A056,CVE-2025-10001,9.9,Critical,High,Yes,2026-07-13,47,Yes
V0003,A024,CVE-2024-20012,8.4,High,Medium,No,2026-07-24,36,No
V0004,A100,CVE-2023-30021,8.8,High,High,Yes,2026-08-14,15,Yes
V0005,A124,CVE-2025-10110,7.4,High,Medium,No,2026-07-09,51,Yes
V0006,A140,CVE-2024-21009,4.6,Medium,Low,No,2026-07-08,52,Yes
V0007,A035,CVE-2025-10110,5.1,Medium,Low,No,2026-07-02,58,Yes
V0008,A038,CVE-2024-20011,7.2,High,Medium,No,2026-08-08,21,Yes
V0009,A036,CVE-2025-10002,7.9,High,Medium,No,2026-07-11,49,Yes
V0010,A013,CVE-2025-10002,6.2,Medium,Medium,No,2026-08-04,25,No
V0011,A063,CVE-2024-20012,9.1,Critical,High,Yes,2026-08-07,22,No
V0012,A015,CVE-2025-10001,9.2,Critical,High,Yes,2026-07-25,35,Yes
V0013,A012,CVE-2024-20011,5.6,Medium,Low,No,2026-07-23,37,No
V0014,A094,CVE-2023-30021,6.5,Medium,Medium,No,2026-07-20,40,Yes
V0015,A054,CVE-2025-10002,9.1,Critical,High,No,2026-07-13,47,Yes
V0016,A062,CVE-2025-10002,4.4,Medium,Low,No,2026-07-25,35,Yes
V0017,A100,CVE-2024-20012,8.7,High,High,No,2026-07-14,46,Yes
V0018,A009,CVE-2023-30021,4.0,Medium,Low,No,2026-07-21,39,Yes
V0019,A007,CVE-2025-10110,8.4,High,Medium,No,2026-08-01,28,No
V0020,A119,CVE-2024-20012,5.9,Medium,Low,No,2026-07-15,45,No
V0021,A115,CVE-2024-20012,6.9,Medium,Medium,No,2026-07-31,29,Yes
V0022,A094,CVE-2025-10003,7.6,High,Medium,No,2026-08-18,11,Yes
V0023,A104,CVE-2025-10002,8.1,High,Medium,No,2026-07-22,38,Yes
V0024,A002,CVE-2025-10001,9.2,Critical,High,Yes,2026-08-06,23,No
V0025,A057,CVE-2025-10002,5.0,Medium,Low,No,2026-07-29,31,Yes
V0026,A020,CVE-2025-10002,8.4,High,Medium,No,2026-07-01,59,Yes
V0027,A013,CVE-2023-30021,9.3,Critical,High,No,2026-07-07,53,No
V0028,A036,CVE-2025-10110,6.1,Medium,Medium,No,2026-07-30,30,Yes
V0029,A076,CVE-2025-10003,8.2,High,Medium,No,2026-07-06,54,Yes
V0030,A081,CVE-2024-20012,9.6,Critical,High,Yes,2026-08-04,25,Yes
V0031,A023,CVE-2024-20011,5.4,Medium,Low,No,2026-08-19,10,Yes
V0032,A084,CVE-2025-10003,7.3,High,Medium,No,2026-08-09,20,Yes
V0033,A034,CVE-2025-10002,5.8,Medium,Low,No,2026-08-11,18,Yes
V0034,A108,CVE-2024-20012,7.0,High,Medium,No,2026-07-08,52,Yes
V0035,A076,CVE-2024-21009,6.9,Medium,Medium,No,2026-07-31,29,Yes
V0036,A135,CVE-2025-10002,6.0,Medium,Medium,No,2026-08-07,22,Yes
V0037,A050,CVE-2024-20011,7.3,High,Medium,No,2026-07-11,49,Yes
V0038,A106,CVE-2024-21009,8.6,High,High,No,2026-08-15,14,Yes
V0039,A066,CVE-2025-10002,5.1,Medium,Low,No,2026-07-05,55,No
V0040,A009,CVE-2025-10003,8.8,High,High,No,2026-07-27,33,No
V0041,A085,CVE-2024-20012,6.4,Medium,Medium,No,2026-07-29,31,Yes
V0042,A016,CVE-2025-10001,7.1,High,Medium,No,2026-08-12,17,Yes
V0043,A017,CVE-2024-21009,9.3,Critical,High,Yes,2026-08-25,4,Yes
V0044,A102,CVE-2023-30021,7.4,High,Medium,No,2026-07-05,55,Yes
V0045,A117,CVE-2025-10001,8.2,High,Medium,No,2026-07-18,42,Yes
V0046,A011,CVE-2024-20011,9.7,Critical,High,No,2026-07-19,41,Yes
V0047,A069,CVE-2025-10002,5.3,Medium,Low,No,2026-08-04,25,Yes
V0048,A123,CVE-2025-10001,5.9,Medium,Low,No,2026-08-15,14,Yes
V0049,A028,CVE-2025-10002,5.0,Medium,Low,No,2026-08-24,5,Yes
V0050,A041,CVE-2023-30021,6.5,Medium,Medium,No,2026-07-04,56,Yes
V0051,A017,CVE-2024-20011,5.7,Medium,Low,No,2026-08-13,16,Yes
