control_id,asset_id,status,coverage,maturity,last_assessed
C001,A001,Implemented,0.72,4.6,2026-08-20
C002,A001,Implemented,0.93,4.6,2026-08-20
C003,A001,Implemented,0.77,4.5,2026-08-20
C004,A001,Implemented,0.97,3.5,2026-08-20
C005,A001,Not Implemented,0.0,0.0,2026-08-20
C006,A001,Implemented,0.73,4.6,2026-08-20
C009,A001,Partially Implemented,0.57,2.4,2026-08-20
C010,A001,Partially Implemented,0.24,1.4,2026-08-20
C001,A002,Not Implemented,0.0,0.0,2026-08-20
C003,A002,Implemented,0.86,3.2,2026-08-20
C004,A002,Implemented,0.76,3.2,2026-08-20
C005,A002,Not Implemented,0.0,0.0,2026-08-20
C006,A002,Not Implemented,0.0,0.0,2026-08-20
C009,A002,Partially Implemented,0.53,2.7,2026-08-20
C010,A002,Implemented,0.86,3.8,2026-08-20
C001,A003,Partially Implemented,0.27,1.8,2026-08-20
C002,A003,Implemented,0.9,3.9,2026-08-20
C003,A003,Not Implemented,0.0,0.0,2026-08-20
C004,A003,Implemented,0.79,2.9,2026-08-20
C005,A003,Implemented,0.7,3.6,2026-08-20
C006,A003,Not Implemented,0.0,0.0,2026-08-20
C008,A003,Implemented,0.69,3.3,2026-08-20
C009,A003,Implemented,0.83,2.8,2026-08-20
C010,A003,Implemented,0.78,4.7,2026-08-20
C001,A004,Not Implemented,0.0,0.0,2026-08-20
C002,A004,Implemented,0.62,3.8,2026-08-20
C003,A004,Implemented,0.91,3.9,2026-08-20
C004,A004,Partially Implemented,0.47,2.3,2026-08-20
C005,A004,Implemented,0.92,3.3,2026-08-20
C006,A004,Partially Implemented,0.35,1.8,2026-08-20
C009,A004,Implemented,0.81,2.6,2026-08-20
C010,A004,Implemented,0.82,4.7,2026-08-20
C001,A005,Not Implemented,0.0,0.0,2026-08-20
C002,A005,Implemented,0.92,4.5,2026-08-20
C003,A005,Partially Implemented,0.23,2.6,2026-08-20
C004,A005,Implemented,0.83,3.4,2026-08-20
C005,A005,Not Implemented,0.0,0.0,2026-08-20
C006,A005,Partially Implemented,0.38,1.7,2026-08-20
