impact_id,threat_id,asset_type,impact_type,min_value,likely_value,max_value,unit,confidence,source,last_updated
IA_T001_IDENTITY_SERVER_RECOVERY,T001,Identity Server,recovery,270000.0,900000.0,2700000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T001_IDENTITY_SERVER_DOWNTIME,T001,Identity Server,downtime,0.9,4.5,14.4,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T001_IDENTITY_SERVER_DATA_LOSS,T001,Identity Server,data_loss,180000.0,900000.0,3600000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T001_IDENTITY_SERVER_REGULATORY,T001,Identity Server,regulatory,0.0,450000.0,1800000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T001_IDENTITY_SERVER_REPUTATION,T001,Identity Server,reputation,180000.0,720000.0,2700000.0,INR,low,synthetic_prototype_assumption,2026-09-05
I001,T001,Database,recovery,500000.0,1500000.0,4000000.0,INR,medium,synthetic,2026-09-05
I002,T001,Database,downtime,1.0,6.0,24.0,hours,medium,synthetic,2026-09-05
I003,T001,Database,data_loss,1000000.0,3000000.0,8000000.0,INR,medium,synthetic,2026-09-05
I004,T001,Database,regulatory,200000.0,1000000.0,3000000.0,INR,low,synthetic,2026-09-05
I005,T001,Database,reputation,500000.0,1500000.0,5000000.0,INR,low,synthetic,2026-09-05
IA_T001_CLOUD_WORKLOAD_RECOVERY,T001,Cloud Workload,recovery,500000.0,1500000.0,4000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T001_CLOUD_WORKLOAD_DOWNTIME,T001,Cloud Workload,downtime,1.0,6.0,24.0,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T001_CLOUD_WORKLOAD_DATA_LOSS,T001,Cloud Workload,data_loss,1000000.0,3000000.0,8000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T001_CLOUD_WORKLOAD_REGULATORY,T001,Cloud Workload,regulatory,200000.0,1000000.0,3000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T001_CLOUD_WORKLOAD_REPUTATION,T001,Cloud Workload,reputation,500000.0,1500000.0,5000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T001_NETWORK_DEVICE_RECOVERY,T001,Network Device,recovery,150000.0,600000.0,1500000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T001_NETWORK_DEVICE_DOWNTIME,T001,Network Device,downtime,0.75,3.0,9.0,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T001_NETWORK_DEVICE_DATA_LOSS,T001,Network Device,data_loss,75000.0,375000.0,1500000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T001_NETWORK_DEVICE_REGULATORY,T001,Network Device,regulatory,0.0,150000.0,750000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T001_NETWORK_DEVICE_REPUTATION,T001,Network Device,reputation,75000.0,375000.0,1500000.0,INR,low,synthetic_prototype_assumption,2026-09-05
I006,T001,Web Server,recovery,200000.0,800000.0,2000000.0,INR,medium,synthetic,2026-09-05
I007,T001,Web Server,downtime,1.0,4.0,12.0,hours,medium,synthetic,2026-09-05
I008,T001,Web Server,data_loss,100000.0,500000.0,2000000.0,INR,low,synthetic,2026-09-05
I009,T001,Web Server,regulatory,0.0,200000.0,1000000.0,INR,low,synthetic,2026-09-05
I010,T001,Web Server,reputation,100000.0,500000.0,2000000.0,INR,low,synthetic,2026-09-05
IA_T001_API_RECOVERY,T001,API,recovery,255000.0,850000.0,2550000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T001_API_DOWNTIME,T001,API,downtime,0.85,4.25,13.6,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T001_API_DATA_LOSS,T001,API,data_loss,170000.0,850000.0,3400000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T001_API_REGULATORY,T001,API,regulatory,0.0,425000.0,1700000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T001_API_REPUTATION,T001,API,reputation,170000.0,680000.0,2550000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T001_APPLICATION_RECOVERY,T001,Application,recovery,285000.0,950000.0,2850000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T001_APPLICATION_DOWNTIME,T001,Application,downtime,0.95,4.75,15.2,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T001_APPLICATION_DATA_LOSS,T001,Application,data_loss,190000.0,950000.0,3800000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T001_APPLICATION_REGULATORY,T001,Application,regulatory,0.0,475000.0,1900000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T001_APPLICATION_REPUTATION,T001,Application,reputation,190000.0,760000.0,2850000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T001_ENDPOINT_RECOVERY,T001,Endpoint,recovery,500000.0,1500000.0,4000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T001_ENDPOINT_DOWNTIME,T001,Endpoint,downtime,1.0,6.0,24.0,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T001_ENDPOINT_DATA_LOSS,T001,Endpoint,data_loss,1000000.0,3000000.0,8000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T001_ENDPOINT_REGULATORY,T001,Endpoint,regulatory,200000.0,1000000.0,3000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T001_ENDPOINT_REPUTATION,T001,Endpoint,reputation,500000.0,1500000.0,5000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T002_IDENTITY_SERVER_RECOVERY,T002,Identity Server,recovery,180000.0,630000.0,1800000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T002_IDENTITY_SERVER_DOWNTIME,T002,Identity Server,downtime,0.9,2.7,9.0,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T002_IDENTITY_SERVER_DATA_LOSS,T002,Identity Server,data_loss,90000.0,450000.0,1800000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T002_IDENTITY_SERVER_REGULATORY,T002,Identity Server,regulatory,0.0,270000.0,1350000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T002_IDENTITY_SERVER_REPUTATION,T002,Identity Server,reputation,90000.0,450000.0,1800000.0,INR,low,synthetic_prototype_assumption,2026-09-05
I016,T002,Database,recovery,300000.0,1000000.0,3000000.0,INR,medium,synthetic,2026-09-05
I017,T002,Database,downtime,1.0,4.0,12.0,hours,medium,synthetic,2026-09-05
I018,T002,Database,data_loss,500000.0,2000000.0,6000000.0,INR,medium,synthetic,2026-09-05
I019,T002,Database,regulatory,200000.0,1000000.0,3000000.0,INR,low,synthetic,2026-09-05
I020,T002,Database,reputation,300000.0,1000000.0,4000000.0,INR,low,synthetic,2026-09-05
IA_T002_CLOUD_WORKLOAD_RECOVERY,T002,Cloud Workload,recovery,300000.0,1000000.0,3000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T002_CLOUD_WORKLOAD_DOWNTIME,T002,Cloud Workload,downtime,1.0,4.0,12.0,hours,low,synthetic_prototype_assumption,2026-09-05
IA_T002_CLOUD_WORKLOAD_DATA_LOSS,T002,Cloud Workload,data_loss,500000.0,2000000.0,6000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T002_CLOUD_WORKLOAD_REGULATORY,T002,Cloud Workload,regulatory,200000.0,1000000.0,3000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
IA_T002_CLOUD_WORKLOAD_REPUTATION,T002,Cloud Workload,reputation,300000.0,1000000.0,4000000.0,INR,low,synthetic_prototype_assumption,2026-09-05
