cvss_score,exploitability,known_exploited,vulnerability_age_days,internet_exposed,asset_criticality,attack_path_reachable,attack_path_length,path_strength,control_coverage,control_maturity,threat_activity,incident
7.739560485559633,0.2181491845610315,0,347,0,9,1,0,0.7934994691509306,0.2688945114379946,0.2206033261276784,0.2556410052066954,1
4.388784397520523,0.6629277005606187,0,521,1,6,1,2,0.9373112487609581,0.6095385840156123,0.05925878012965646,0.6812106415214104,1
8.585979199113824,0.7668615203028132,0,1291,0,9,1,5,0.8722251453786994,0.3431577679631066,0.5273459298829638,0.11404793848848338,1
6.973680290593639,0.1666361430284744,0,154,0,3,0,3,0.7679787242241056,0.6564037147125029,0.10454916332790265,0.389455334537382,0
0.9417734788764953,0.04385828341791598,0,162,0,3,0,1,0.5793358196441493,0.5916265413624162,0.41524245257327996,0.46504847626573553,0
9.756223516367559,0.43958737530133873,0,453,0,1,0,7,0.8086245785124345,0.9977665226215087,0.7695619078813891,0.46844391768545757,0
7.61139701990353,0.7740240859924371,0,904,0,7,0,1,0.9753328700331001,0.31095599007540886,0.7723942732002042,0.2732365552776044,0
7.860643052769538,0.6507798355741427,1,1210,0,8,1,0,0.6373192487905629,0.3498073736878471,0.5621858849392142,0.5292029623166653,0
1.2811363267554587,0.7018817204145913,0,843,1,3,1,3,0.24260512333890427,0.1987675510460507,0.030781052794839114,0.277365974727361,0
4.503859378955672,0.4028393399933684,0,740,0,4,1,0,0.2478458699185283,0.4639081721435214,0.5366970241100796,0.1665333185732718,0
3.7079802423258124,0.23494554525306988,0,1306,1,6,0,4,0.7959872427431963,0.8373602118408281,0.2526600620035765,0.13334422421994296,0
9.267649888486018,0.5317788432846094,0,257,0,8,0,3,0.9894499563265311,0.21099803562700103,0.5684064974032454,0.8947109880253686,0
6.438651200806645,0.2043656937491969,0,1352,0,4,1,7,0.21031183450568236,0.9614098277203463,0.9084111515898425,0.130644483714368,0
8.227616132708299,0.7262286969850658,0,468,0,5,0,1,0.9700846966130755,0.01315728279463102,0.5988684176548705,0.39519227087133424,1
4.4341419882733115,0.19696645595947704,1,413,0,2,0,2,0.268289152657166,0.8051487301469052,0.9405847380303884,0.2519010904888296,0
2.272387217847769,0.29126326671434144,0,1430,0,9,1,5,0.41280292928349827,0.6916257417973615,0.2086121957978525,0.6160456413905204,0
5.545847870158348,0.5065447783230054,0,968,0,9,1,5,0.9081532774182286,0.905253473998943,0.26832279735137365,0.34575837214332117,1
0.6381725610417532,0.48670993414349495,0,647,0,8,0,2,0.9618144673655156,0.5218125114796617,0.14874010288318018,0.2863159051703632,0
8.27631171992582,0.6008493764070294,0,495,0,9,0,7,0.5669544097142252,0.6809643664063887,0.07833239678357584,0.9690112024943749,1
6.316643991220649,0.43744460049991696,0,662,1,8,1,6,0.950090469462406,0.049424062033852745,0.010500897647255925,0.9967462224514594,1
7.580877400853739,0.9194733085100913,0,1187,0,9,1,4,0.8424190785572176,0.39435519477869563,0.9279342617115052,0.13261989964021093,1
3.545259681298684,0.8399340941971882,0,229,0,5,0,5,0.8663955325996172,0.7706995567230701,0.4517326955590011,0.6927863174243043,0
9.706980243949033,0.8791134512366384,0,261,0,3,1,4,0.8682483361365654,0.10898168635308025,0.9388569206402619,0.8898375586294665,1
