control_id,threat_id,effectiveness_low,effectiveness_base,effectiveness_high,evidence_type
C001,T002,0.33,0.55,0.62,Assessed
C001,T003,0.3,0.41,0.49,Measured
C001,T008,0.27,0.37,0.43,Measured
C001,T010,0.34,0.58,0.69,Assessed
C001,T011,0.33,0.61,0.74,Estimated
C001,T012,0.19,0.37,0.48,Measured
C002,T001,0.16,0.26,0.34,Assessed
C002,T003,0.21,0.39,0.53,Measured
C002,T004,0.31,0.45,0.58,Measured
C002,T011,0.2,0.43,0.56,Estimated
C002,T012,0.3,0.51,0.57,Measured
C003,T001,0.27,0.51,0.58,Estimated
C003,T004,0.3,0.53,0.66,Assessed
C003,T005,0.16,0.38,0.5,Measured
C003,T006,0.31,0.53,0.65,Estimated
C003,T007,0.25,0.38,0.49,Assessed
C003,T009,0.32,0.48,0.6,Assessed
C003,T010,0.17,0.39,0.45,Measured
C003,T011,0.24,0.51,0.63,Assessed
C003,T012,0.16,0.4,0.49,Assessed
C004,T001,0.16,0.42,0.54,Assessed
C004,T006,0.31,0.55,0.64,Assessed
C004,T007,0.23,0.32,0.47,Assessed
C004,T009,0.29,0.47,0.58,Measured
C005,T001,0.24,0.51,0.59,Measured
C005,T004,0.24,0.38,0.52,Estimated
C005,T005,0.34,0.51,0.62,Assessed
C005,T006,0.19,0.39,0.46,Estimated
C005,T009,0.2,0.43,0.5,Measured
C005,T010,0.2,0.42,0.52,Measured
C005,T011,0.28,0.48,0.56,Assessed
C005,T012,0.31,0.55,0.64,Assessed
C006,T002,0.28,0.52,0.65,Assessed
C006,T006,0.24,0.52,0.67,Estimated
C006,T008,0.28,0.42,0.51,Measured
C006,T009,0.27,0.47,0.59,Assessed
C006,T010,0.24,0.48,0.6,Assessed
C006,T011,0.23,0.39,0.47,Measured
C006,T012,0.34,0.53,0.64,Measured
C007,T001,0.21,0.32,0.42,Measured
C007,T003,0.2,0.33,0.46,Estimated
C007,T004,0.27,0.44,0.52,Measured
C007,T005,0.21,0.3,0.35,Assessed
C007,T006,0.32,0.4,0.47,Assessed
C007,T007,0.26,0.45,0.5,Assessed
C008,T007,0.23,0.36,0.42,Measured
C008,T009,0.2,0.42,0.48,Estimated
C008,T010,0.2,0.46,0.58,Assessed
C009,T002,0.18,0.39,0.47,Assessed
C009,T003,0.21,0.46,0.52,Estimated
C009,T008,0.26,0.39,0.48,Assessed
C010,T001,0.23,0.5,0.59,Assessed
C010,T002,0.21,0.41,0.53,Estimated
C010,T003,0.34,0.54,0.62,Measured
C010,T004,0.18,0.37,0.44,Assessed
C010,T005,0.27,0.49,0.56,Assessed
C010,T006,0.35,0.55,0.61,Measured
C010,T007,0.3,0.44,0.51,Assessed
C010,T008,0.22,0.41,0.49,Measured
C010,T009,0.35,0.44,0.59,Estimated
C010,T010,0.16,0.26,0.35,Assessed
C010,T011,0.31,0.5,0.55,Measured
C010,T012,0.17,0.26,0.31,Measured
