source_asset,destination_asset,relationship,access_type
A089,A093,routes_to,SSH
A010,A094,connects_to,Internal
A002,A116,depends_on,SSH
A133,A042,routes_to,API
A136,A047,depends_on,SSH
A033,A119,replicates,API
A099,A068,trusts,SSH
A107,A027,depends_on,Internal
A066,A139,replicates,Database
A079,A011,connects_to,API
A094,A114,depends_on,Database
A063,A107,connects_to,SSH
A133,A053,trusts,RDP
A023,A026,trusts,Database
A086,A076,depends_on,HTTPS
A010,A090,trusts,SSH
A122,A100,connects_to,Internal
A122,A101,replicates,RDP
A063,A129,routes_to,RDP
A053,A112,trusts,SSH
A072,A133,connects_to,RDP
A047,A117,replicates,API
A082,A005,depends_on,RDP
A115,A112,routes_to,SSH
A051,A150,trusts,SSH
A016,A030,trusts,API
A121,A004,routes_to,Internal
A127,A062,trusts,Internal
A011,A150,replicates,SSH
A108,A026,routes_to,HTTPS
A044,A117,routes_to,RDP
A087,A005,connects_to,Database
A099,A052,depends_on,SSH
A030,A091,replicates,Internal
A075,A124,replicates,Database
A027,A052,replicates,API
A073,A046,replicates,SSH
A119,A082,depends_on,RDP
A073,A066,connects_to,Database
A121,A066,connects_to,API
A098,A064,replicates,Internal
A146,A147,depends_on,RDP
A077,A144,trusts,Internal
A020,A013,depends_on,Database
A129,A098,routes_to,RDP
A117,A121,trusts,API
A016,A150,trusts,SSH
A062,A071,trusts,API
A055,A073,depends_on,SSH
A073,A016,trusts,SSH
A065,A096,routes_to,API
A095,A113,connects_to,API
A143,A132,trusts,HTTPS
A031,A005,routes_to,Database
A090,A024,routes_to,Database
A019,A074,routes_to,RDP
A023,A059,depends_on,HTTPS
A112,A142,trusts,Internal
A020,A079,depends_on,API
A002,A116,routes_to,RDP
A145,A005,replicates,RDP
A126,A138,depends_on,Internal
A046,A095,replicates,HTTPS
A055,A139,routes_to,HTTPS
A023,A079,trusts,RDP
A049,A035,depends_on,Database
A061,A125,connects_to,Database
A013,A049,replicates,Database
A046,A111,depends_on,HTTPS
A107,A060,connects_to,SSH
A132,A079,routes_to,RDP
A146,A036,routes_to,SSH
A115,A004,trusts,API
A071,A050,trusts,RDP
A070,A025,routes_to,Database
A070,A028,trusts,RDP
A095,A133,routes_to,RDP
A060,A141,connects_to,SSH
A141,A123,routes_to,Internal
A131,A143,depends_on,Database
A138,A083,trusts,API
A048,A047,replicates,RDP
A144,A135,depends_on,SSH
A061,A094,replicates,SSH
A005,A118,depends_on,Internal
A109,A004,routes_to,HTTPS
A091,A111,routes_to,Database
A008,A096,depends_on,HTTPS
A026,A036,trusts,RDP
A028,A014,replicates,Internal
A020,A015,depends_on,API
A057,A014,connects_to,Internal
A023,A011,replicates,Internal
A057,A036,trusts,RDP
A113,A062,trusts,RDP
A025,A014,depends_on,HTTPS
A048,A144,routes_to,SSH
A098,A023,depends_on,HTTPS
A012,A022,routes_to,HTTPS
A139,A077,connects_to,Database
A004,A050,trusts,RDP
A057,A072,depends_on,Internal
A125,A128,trusts,Internal
A007,A083,connects_to,Internal
A113,A150,replicates,Database
A081,A042,replicates,API
A063,A009,replicates,Internal
A003,A042,connects_to,Internal
A058,A046,replicates,HTTPS
A043,A122,depends_on,API
A024,A054,replicates,SSH
A012,A098,depends_on,Internal
A052,A097,replicates,RDP
A024,A111,routes_to,HTTPS
A004,A120,replicates,SSH
A015,A077,depends_on,SSH
A127,A134,replicates,Internal
A019,A021,routes_to,Database
A050,A092,connects_to,Internal
A086,A077,trusts,SSH
A036,A131,replicates,Database
A087,A003,trusts,API
A085,A092,replicates,RDP
A099,A097,depends_on,HTTPS
A145,A016,replicates,SSH
A046,A048,trusts,Internal
A006,A121,replicates,RDP
A048,A026,replicates,Internal
A025,A132,connects_to,API
A134,A120,routes_to,Internal
A066,A127,depends_on,SSH
A141,A008,connects_to,HTTPS
A022,A106,depends_on,API
A001,A028,routes_to,HTTPS
A102,A129,routes_to,SSH
A084,A013,replicates,RDP
A144,A107,depends_on,RDP
A094,A096,depends_on,Database
A089,A054,connects_to,HTTPS
A038,A081,connects_to,API
A021,A105,trusts,Database
A084,A146,replicates,SSH
A095,A121,trusts,SSH
A115,A064,connects_to,API
A080,A031,trusts,Database
A086,A088,replicates,HTTPS
A084,A049,replicates,HTTPS
A017,A125,depends_on,HTTPS
A011,A131,routes_to,RDP
A071,A101,connects_to,Internal
A082,A034,routes_to,RDP
A087,A063,connects_to,API
A027,A137,routes_to,Internal
A105,A096,connects_to,HTTPS
A130,A032,replicates,RDP
A039,A046,depends_on,Database
A130,A027,connects_to,SSH
A064,A093,replicates,Database
A063,A003,routes_to,RDP
A075,A132,trusts,HTTPS
A004,A060,routes_to,SSH
A024,A097,trusts,HTTPS
A095,A139,connects_to,Database
A145,A038,connects_to,HTTPS
A001,A033,replicates,HTTPS
A079,A032,replicates,RDP
A100,A062,replicates,Database
A100,A079,depends_on,Database
A133,A056,routes_to,HTTPS
A032,A104,replicates,Database
A067,A088,routes_to,RDP
A027,A085,replicates,Internal
A052,A128,depends_on,Database
A111,A122,connects_to,Internal
A007,A008,replicates,Database
A100,A102,trusts,API
A037,A043,depends_on,RDP
A114,A082,connects_to,RDP
A012,A078,replicates,API
A063,A035,trusts,Internal
A130,A082,connects_to,HTTPS
A013,A137,trusts,API
A005,A129,connects_to,SSH
A113,A099,routes_to,RDP
A091,A141,trusts,API
A058,A141,connects_to,SSH
A083,A008,replicates,Internal
A003,A143,depends_on,SSH
A009,A138,trusts,Database
A098,A060,trusts,API
A022,A115,routes_to,RDP
A081,A078,replicates,API
A053,A087,connects_to,Internal
A033,A036,routes_to,API
A033,A055,trusts,SSH
A145,A048,depends_on,HTTPS
A034,A105,depends_on,Database
A012,A114,replicates,Database
A086,A104,connects_to,Internal
A125,A119,replicates,RDP
A096,A021,routes_to,RDP
A024,A030,depends_on,Database
A083,A045,routes_to,API
A059,A043,trusts,RDP
A039,A101,routes_to,HTTPS
A034,A116,trusts,Internal
A020,A003,trusts,RDP
A105,A100,routes_to,SSH
A038,A049,replicates,RDP
A111,A007,routes_to,RDP
A002,A006,depends_on,Internal
A063,A092,depends_on,Internal
A078,A032,trusts,HTTPS
A032,A116,depends_on,Database
A109,A009,routes_to,Internal
A026,A136,depends_on,RDP
A017,A106,trusts,Internal
A025,A033,depends_on,SSH
A126,A093,connects_to,HTTPS
A137,A103,depends_on,Internal
A028,A122,trusts,RDP
A150,A141,connects_to,SSH
A026,A074,trusts,SSH
A043,A114,routes_to,Internal
A135,A109,replicates,RDP
A114,A047,connects_to,SSH
A074,A130,depends_on,SSH
A011,A019,replicates,Internal
A099,A068,trusts,HTTPS
